[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 11.95, -1.0, 30.84, -1.0, 3.66, -1.0, -1.0, -1.0, 17.73, -1.0]
[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 11.95, -1.0, 30.84, -1.0, 3.66, -1.0, -1.0, -1.0, 17.73, -1.0]
[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 11.95, -1.0, 30.84, -1.0, 3.66, -1.0, -1.0, -1.0, 17.73, -1.0]
[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 11.95, -1.0, 30.84, -1.0, 3.66, -1.0, -1.0, -1.0, 17.73, -1.0]
[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 11.95, -1.0, 30.84, -1.0, 3.66, -1.0, -1.0, -1.0, 17.73, -1.0]
[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 11.95, -1.0, 30.84, -1.0, 3.66, -1.0, -1.0, -1.0, 17.73, -1.0]
[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 11.95, -1.0, 30.84, -1.0, 3.66, -1.0, -1.0, -1.0, 17.73, -1.0]
[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 11.95, -1.0, 30.84, -1.0, 3.66, -1.0, -1.0, -1.0, 17.73, -1.0]
[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 11.95, -1.0, 30.84, -1.0, 3.66, -1.0, -1.0, -1.0, 17.73, -1.0]
[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 11.95, -1.0, 30.84, -1.0, 3.66, -1.0, -1.0, -1.0, 17.73, -1.0]
[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 11.95, -1.0, 30.84, -1.0, 3.66, -1.0, -1.0, -1.0, 17.73, -1.0]
[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 11.95, -1.0, 30.84, -1.0, 3.66, -1.0, -1.0, -1.0, 17.73, -1.0]
[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 11.95, -1.0, 30.84, -1.0, 3.66, -1.0, -1.0, -1.0, 17.73, -1.0]
[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 11.95, -1.0, 30.84, -1.0, 3.66, -1.0, -1.0, -1.0, 17.73, -1.0]
[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 11.95, -1.0, 30.84, -1.0, 3.66, -1.0, -1.0, -1.0, 17.73, -1.0]
[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 11.95, -1.0, 30.84, -1.0, 3.66, -1.0, -1.0, -1.0, 17.73, -1.0]
